v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
IAGLCMT0001,7 Pieces Women's Bracelet Set Creative Vintage Bracelet Accessories,,"<p><b>Item Id</b>: #AHD900AO0NQ</p><p><b>Style</b>: Vintage, Top Fashion, Ethnic</p><p><b>Pattern</b>: Solid Color</p><p><b>Suitable For</b>: Women</p><p><b>Relative Keywords</b>: Accessory, Accessories</p><p><b>Material</b>: Alloy, Gold Plated</p><p><b>Jewelry Type</b>: Fashion</p><p><b>Features</b>: Totally 7 Pieces<br></p>",img/739c375bfcb041768b8b57fb28440d9e.jpg,,Size#,88.51,48.63,,,1,1,,,Bracelet,,7 Pieces Women's Bracelet Set Creative Vintage Bracelet Accessories,7 Pieces Women's Bracelet Set Creative Vintage Bracelet Accessories,7 Pieces Women's Bracelet Set Creative Vintage Bracelet Accessories,,,,,,,,,
IAGLCMT0002,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Wine Red,,"<p><b>Item Id</b>: #9S3JH00SM190UJ</p><p><b>Watchband Material</b>: Plastic</p><p><b>Features</b>: Compatible with Xiaomi Mi Band 5,Stylish, Thin & Comfortable,Precise cut outs for trouble free access to controls,Lightweight & Superior Hardness,Perfect Edges & Precise Molding<br></p>",img/913ebe6b99e24d51a72f33375c6df7e5.jpg,,Size#Watermelon Red:,67.86,39,,,1,1,,,Bracelet,,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Wine Red,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Wine Red,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Wine Red,,,,,,,,,
IAGLCMT0003,REALY Women's Bracelet Watch Rhinestones Inlay Chain Quartz Watch Accessory,,"<p><b>Item Id</b>: #3CT970AA1NN</p><p><b>Pattern</b>: Print</p><p><b>Closure Type</b>: Hasp</p><p><b>Decoration</b>: Rhinestone, Carving</p><p><b>Movement Type</b>: Quartz</p><p><b>Dial</b>: Round</p><p><b>Category</b>: Women's Watches</p><p><b>Band Material</b>: Alloy</p><p><b>Case Material</b>: Alloy</p><p><b>Display Type</b>: Pointer</p><p><b>Band Type</b>: Gilding, Steel</p><p><b>Features</b>: Band: width 16mm,length 210mm<br>34mm Alloy case with mineral dial window<br>Stylish design with gift box,best choice for present<br>High quality alloy metal bracelet,comfortable and durable<br>Daily water resistance and quartz movement guarantee precise time keeping<br></p>",img/ceff3c2e66c94cfb9857a7c840388ad9.jpg,,Size#Gold:,86.08,48.63,,,1,1,,,Bracelet,,REALY Women's Bracelet Watch Rhinestones Inlay Chain Quartz Watch Accessory,REALY Women's Bracelet Watch Rhinestones Inlay Chain Quartz Watch Accessory,REALY Women's Bracelet Watch Rhinestones Inlay Chain Quartz Watch Accessory,,,,,,,,,
IAGLCMT0004,Women's Bracelet Set Multi Layer Unisex Retro Style Bracelets Accessory,,"<p><b>Item Id</b>: #152970AO0PR</p><p><b>Style</b>: Vintage</p><p><b>Decoration</b>: Ribbons</p><p><b>Pattern</b>: Geometric</p><p><b>Relative Keywords</b>: Accessory</p><p><b>Jewelry Type</b>: Fashion, Basic, Fine</p>",img/3e24785e4ae444628faa52638d33a11e.jpg,,Size#Black:,85.75,49,,,1,1,,,Bracelet,,Women's Bracelet Set Multi Layer Unisex Retro Style Bracelets Accessory,Women's Bracelet Set Multi Layer Unisex Retro Style Bracelets Accessory,Women's Bracelet Set Multi Layer Unisex Retro Style Bracelets Accessory,,,,,,,,,
IAGLCMT0005,Men's Stainless Steel Chain ID Tag Bracelet Black Gold Silver 210mm Watch Link Design,,"<p><b>Item Id</b>: #8J4980AOABL</p><p><b>Style</b>: Vintage, Top Fashion</p><p><b>Decoration</b>: Metal Decoration</p><p><b>Pattern</b>: Geometric, Laser</p><p><b>Category</b>: Vintage Bracelets, Fashion Bracelets</p><p><b>Material</b>: Stainless Steel</p><p><b>Jewelry Type</b>: Fashion, Basic</p><p><b>Features</b>: *<br>*Artificial manual polishing,detail decides the quality.<br></p>",img/3910c813e1d448268fb4c820aa316e5d.jpg,,Size#Gold:,71.37,39,,,1,1,,,Bracelet,,Men's Stainless Steel Chain ID Tag Bracelet Black Gold Silver 210mm Watch Link Design,Men's Stainless Steel Chain ID Tag Bracelet Black Gold Silver 210mm Watch Link Design,Men's Stainless Steel Chain ID Tag Bracelet Black Gold Silver 210mm Watch Link Design,,,,,,,,,
IAGLCMT0006,5Pcs Women's Bracelet Set Simple Style Bow Knot Heart Design Sweet Accessories,,"<p><b>Item Id</b>: #0MM970AO0HK</p><p><b>Suitable For</b>: Women</p><p><b>Relative Keywords</b>: Accessory, Catenary/Necklace, Accessories</p><p><b>Material</b>: Alloy</p><p><b>Jewelry Type</b>: Fashion, Basic, Fine</p>",img/b837204b698a4887aaf61d63df047499.jpg,,Size#Gold:,87.98,49.99,,,1,1,,,Bracelet,,5Pcs Women's Bracelet Set Simple Style Bow Knot Heart Design Sweet Accessories,5Pcs Women's Bracelet Set Simple Style Bow Knot Heart Design Sweet Accessories,5Pcs Women's Bracelet Set Simple Style Bow Knot Heart Design Sweet Accessories,,,,,,,,,
IAGLCMT0007,Trendy brand hip-hop bracelet men's trendy titanium steel simple and cold style single personality female jewelry,,"<p><b>Item Id</b>: #DLY910AO1LD</p><p><b>Style</b>: Punk</p><p><b>Decoration</b>: Metal Decoration</p><p><b>Pattern</b>: Solid Color</p><p><b>Category</b>: Fashion Bracelets</p><p><b>Material</b>: Alloy, Silver Plated</p><p><b>Jewelry Type</b>: Fashion</p><p><b>Features</b>: <br></p>",img/433f06e61be74996a11d8e23945c2ed2.jpg,,Size#,67.08,39,,,1,1,,,Bracelet,,Trendy brand hip-hop bracelet men's trendy titanium steel simple and cold style single personality female jewelry,Trendy brand hip-hop bracelet men's trendy titanium steel simple and cold style single personality female jewelry,Trendy brand hip-hop bracelet men's trendy titanium steel simple and cold style single personality female jewelry,,,,,,,,,
IAGLCMT0008,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Digital Camouflage,,"<p><b>Item Id</b>: #9S3JH00SM190U4</p><p><b>Watchband Material</b>: Plastic</p><p><b>Features</b>: Compatible with Xiaomi Mi Band 5,Stylish, Thin & Comfortable,Precise cut outs for trouble free access to controls,Lightweight & Superior Hardness,Perfect Edges & Precise Molding<br></p>",img/2acd2da2489a4029bf563d933544a8a9.jpg,,Size#Camouflage:,79.74,48.62,,,1,1,,,Bracelet,,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Digital Camouflage,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Digital Camouflage,Ineix Soft Silicone Replacement Strap /watch band wrist strap Bracelet For Xiaomi Mi Band 5 - Digital Camouflage,,,,,,,,,
IAGLCMT0009,Women's Bracelet Watch Round Dial Rhinestone Clover Beading Watch,,"<p><b>Item Id</b>: #551900AA3Z2</p><p><b>Pattern</b>: Character</p><p><b>Style</b>: Casual, Vintage, Business, Retro, OL, Top Fashion, Celebrity</p><p><b>Closure Type</b>: Covered Button</p><p><b>Decoration</b>: Rhinestone</p><p><b>Movement Type</b>: Quartz</p><p><b>Dial</b>: Round</p><p><b>Category</b>: Women's Watches</p><p><b>Band Material</b>: Stainless Steel</p><p><b>Case Material</b>: Alloy, Rhinestone</p><p><b>Display Type</b>: Pointer</p><p><b>Band Type</b>: Gilding</p>",img/d4bc7d46306c411cbba49253c7c86f6e.jpg,,Size#,87.48,49.99,,,1,1,,,Bracelet,,Women's Bracelet Watch Round Dial Rhinestone Clover Beading Watch,Women's Bracelet Watch Round Dial Rhinestone Clover Beading Watch,Women's Bracelet Watch Round Dial Rhinestone Clover Beading Watch,,,,,,,,,
IAGLCMT0010,Women's Woven Bracelet Adjustable Casual Bracelet Accessory,,"<p><b>Item Id</b>: #2PJ990AO4LZ</p><p><b>Suitable For</b>: Women</p><p><b>Relative Keywords</b>: Accessory, Accessories</p><p><b>Material</b>: Polyester, Resin</p><p><b>Jewelry Type</b>: Fashion, Vintage, Fine</p>",img/3974a1083afa483890a2afb32cfa2f81.jpg,,Size#,85.59,48.63,,,1,1,,,Bracelet,,Women's Woven Bracelet Adjustable Casual Bracelet Accessory,Women's Woven Bracelet Adjustable Casual Bracelet Accessory,Women's Woven Bracelet Adjustable Casual Bracelet Accessory,,,,,,,,,
